ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0x1ba9f0e4b2addffc3401f5396095929f25f3ca39,0x5b4c4edf26cc2a292d3ef4ab9c78acb5b1453336,0,0x5b4c4edf26cc2a292d3ef4ab9c78acb5b1453336
0x5d6589f9e6aab60b62c640a96e3ac1149b0ab976,0x2ab0b4d184698474474117eb07cc7c6a938e8b24,0,0x2ab0b4d184698474474117eb07cc7c6a938e8b24
0x66779f4615f287b4db421b7910620e05daae79b9,0x5b61d700bdcbaa7c19efab6ce023875e4bda3eb6,0,0x5b61d700bdcbaa7c19efab6ce023875e4bda3eb6
0x8a09ffa4d4310c7f59dc538a1481d8ba2214cef0,0xa308de214e01c365834e3344c1088b0d2b97559c,0,0xa308de214e01c365834e3344c1088b0d2b97559c
0xa4535f84e8d746462f9774319e75b25bc151ba1d,0x4e70020d55be6d7c409307471b07417cfc20a775,0,0x4e70020d55be6d7c409307471b07417cfc20a775
0xab054a3b1cf3862fdaeb251ffb32c49d26755ecf,0xb5102d8abe09650e5f18248b18c09c27df1765b6,0,0xb5102d8abe09650e5f18248b18c09c27df1765b6
0xd5ceb3e748ef3296a68b930c1810c5884278410e,0xc1f7efe5b3f92c09298ce7845d05af13ef448b4c,0,0xc1f7efe5b3f92c09298ce7845d05af13ef448b4c
0x853d37e766b3af7c4dc61fcba17eaa2c83b8413c,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,1,0x8869e7b48e33c5f1fffb0f15f6084c7b438d6371
0x5ccbbcfafd4d1167ccc863da7f4e3265dd361352,0x3e9ed9dd46c5c5767f81d2d70dfacde8e0569d69,0,0x3e9ed9dd46c5c5767f81d2d70dfacde8e0569d69
0x75541836787f35a807560d54cf5cac5946f28f65,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,1,0x91505bd4441f908a767e3b80e779da351537073a
0x19c2fc4867db2292c155c4f294bc2f383ec72cec,0x2ea859eff2267485b07c4519baa86bfe0ca0ee78,0,0x2ea859eff2267485b07c4519baa86bfe0ca0ee78
0x9acc36a6d88e0290940dd9978a4985e77baa26cc,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,1,0x2132786e2db0aba5e02e9df691a6008935032b8b
0x97eb3c1958fe0ace7db97d55d26fb5d1a789b8c9,0x7fc53dfff734d7cb9f533154344e4d569a34f8e8,0,0x7fc53dfff734d7cb9f533154344e4d569a34f8e8
0xe07fb2dbe2f4866f837f6a9886ee16adc377fc82,0xe23159ea1f120449f07c4ab27e5ef1a820d1eb44,0,0xe23159ea1f120449f07c4ab27e5ef1a820d1eb44
0x7c7a319684214605fd5a0d3ba6d47573969000c9,0x009bbb4cc28f8949ae5ee4eba86210b57aa57602,0,0x009bbb4cc28f8949ae5ee4eba86210b57aa57602
0x2018be130ca917b374be8a428b16c0b6f672d2d2,0x086d21b3125e01338ed4757b9ce8b7b44130e07d,0,0x086d21b3125e01338ed4757b9ce8b7b44130e07d
0x4f2dcef4f8a5e2215a82fdc766ded262959edc02,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x1de5b2a59514415b0e1bc40953d86f1e7a462092
